spatial_id,Mental Health Score,Mental Health Binary,Unemployment Rate,High Education Rate,Average Income,Median Age,Recent Immigrant Rate,Rented Rate,Visible Minority Rate,Visible Minority Binary,Work Stress Score,Work Stress binary,Rate of Regular alcohol,Active transportation,Rate of Active population,Rate of Daily Smokers,Total Population,Food Insecurity score,Food Insecurity binary,Diabetes Type 2 rate,Diabetes,Overweight,Obese,Residential Instability,Material Deprivation,Ethnic Concentration,Residential Instability quintiles,Material Deprivation quintiles,Ethnic Concentration quintiles
5350105,3.802070332,0,5.1,55.8265,140779.665,38.8,2.0971,35.882,17.0847,0,3.08627285,1,64.0193,60.5797,58.3586,8.6098,4665,1.069920831,0,9.4198,0,31.6891,19.6001,0.432587515,-0.610879726,-0.470686605,4,2,2
5350106,3.515600868,1,8,36.8521,114167.9811,39.6,7.6867,32.9436,61.9542,1,2.681229032,0,43.086,53.1541,47.1591,14.0464,4145,1.229263508,1,6.2644,0,28.5615,20.2605,-0.0284322,0.321885643,0.873658865,3,4,4
5350107,3.489329412,1,7.9,24.2571,107670.2877,38.9,8.0557,31.4166,37.3171,1,2.713798006,0,40.7652,50.455,44.1065,13.7697,5673,1.213979603,1,7.5991,0,29.9555,23.1786,-0.235058977,0.727033037,0.28981516,3,5,3
5350108,3.379526526,1,10.8,27.4725,79044.4525,38.6,7.2562,48.6122,45.8761,1,2.731183639,0,46.5356,55.7309,48.5126,20.5771,6620,1.281717012,1,9.1011,0,29.2198,19.9538,0.684430218,1.339333057,0.250761976,4,5,3
5350109,3.620343066,1,8.8,39.5669,120013.9163,37,4.9071,38.8913,35.5938,1,2.942791551,1,57.021,59.9497,57.3742,13.2733,5869,1.148243884,1,6.0522,0,34.6637,16.2262,0.341672764,-0.227239237,-0.00729731,4,3,3
5350110,3.508765387,1,6.2,40.5553,109174.2786,39,3.4557,34.7383,30.5847,1,2.925487887,1,52.0286,55.912,56.5198,14.1756,3711,1.166406104,1,7.4895,0,35.8935,16.939,0.394056036,-0.071052907,0.085174696,4,3,3
5350111,3.322260044,1,10.3,22.5559,107182.8842,41,2.8594,25.9501,25.3864,1,2.717914882,0,37.9588,42.3884,41.1618,13.7047,2588,1.221430683,1,11.2688,1,27.7564,24.0438,-0.232439391,0.506105383,-0.106818624,3,4,2
5350112,3.516812489,1,7.1,35.1655,106093.9851,39.4,5.7295,33.8447,26.1547,1,2.791794641,0,46.7277,51.6714,48.9712,12.3365,5651,1.172550877,1,8.5054,0,31.9992,19.3168,0.226861568,0.203438988,0.081149615,4,4,3
5350113,3.699573482,1,10.6,53.2855,139413.3715,37.6,2.811,57.367,26.3986,1,3.026951087,1,62.219,60.9356,61.4257,9.636,2860,1.106735765,0,8.4112,0,34.7661,20.0549,0.708498793,-0.319963612,-0.102669166,4,3,2
5350114,3.613339032,1,5.3,54.5647,143231.3408,41.3,6.0175,53.9026,24.1233,0,2.953460337,1,54.9804,56.9005,54.1333,12.085,5903,1.135613061,1,11.0255,1,31.5894,21.0094,1.060671172,-0.14695021,-0.131900478,5,3,2
5350115,3.516753007,1,7,43.4417,112180.9484,41.8,3.3539,47.7231,39.9254,1,2.879013969,1,51.3805,58.7491,55.2254,12.3128,4556,1.182042531,1,8.5568,0,33.5431,17.8464,0.68674766,0.64087797,0.165950275,4,4,3
5350116,3.835821728,0,4.7,63.9583,133525.878,41.5,4.3162,48.2775,20.5982,0,3.064499689,1,68.1128,59.5105,59.095,10.2736,5015,1.076543082,0,8.3081,0,34.7668,20.3834,0.849309104,-0.649317067,0.070792659,4,2,3
5350117,3.926456695,0,7.8,75.9811,206294.8898,39.7,3.4708,39.3669,18.3591,0,3.033900287,1,68.5104,58.5088,58.5461,9.8056,2462,1.036612566,0,7.5423,0,35.9658,18.7102,1.414051817,-0.76840355,-0.27756838,5,1,2
5350118,3.870752896,0,6.9,71.8779,269890.4431,49.9,3.1858,68.5714,14.8683,0,2.968052771,1,63.9462,53.703,57.3895,11.4467,4365,1.033258965,0,8.3056,0,36.1238,15.5811,1.371100325,-1.005151114,-0.150772563,5,1,2
5350119,3.749257332,0,8.5,72.6598,493381.3432,45.8,6.1409,60.241,20.9929,0,2.894732252,1,60.9813,53.4733,53.7305,9.7095,5197,1.039907064,0,10.0895,0,34.4307,17.9008,1.532744142,-1.10917231,-0.120207359,5,1,2
5350120,3.901067479,0,6.9,77.5862,373144.5945,44.7,4.2969,25.6233,16.9799,0,3.023227174,1,70.936,56.154,58.1413,12.7924,1543,1.015875706,0,8.81,0,35.025,17.3737,0.307720041,-1.243306751,-0.841820555,4,1,1
5350121,3.930124785,0,7.3,75.5995,313770.4743,48.5,7.0297,40.8884,18.9779,0,2.948395747,1,72.4169,50.9838,55.3256,11.5879,3209,1.024078316,0,6.736,0,36.8393,13.9165,1.896529018,-1.319835325,-0.268964029,5,1,2
5350122,3.760944537,0,5,71.8086,217991.3947,45.4,5.2865,60.8242,20.5374,0,2.896057892,1,62.8405,52.5005,51.9709,9.525,6773,1.039070223,0,10.384,0,36.4796,19.6883,1.726510365,-1.092968807,-0.110226703,5,1,2
5350123,3.695833447,1,11.6,62.891,90667.4531,36.1,5.8848,96.7084,39.008,1,3.069099814,1,65.4208,55.3114,52.6144,11.789,2379,1.133940204,1,10.1577,0,38.6466,20.5786,2.919740953,-0.675773368,1.00599402,5,2,4
5350124,3.801279213,0,8.1,70.6722,183295.641,48.4,6.1845,67.6804,20.8667,0,2.874994078,1,64.8497,49.8158,51.2259,9.6059,6000,1.046754424,0,9.6635,0,38.7806,18.8434,2.101168174,-0.904545962,-0.098868348,5,1,2
5350125,3.840974421,0,4.6,80.6625,744871.0267,42.4,1.6849,16.242,12.0131,0,3.035299502,1,60.1247,57.7222,60.5683,5.6844,4570,1.022698222,0,10.6804,1,32.632,19.3481,-0.573401116,-1.110546134,-0.26561575,2,1,2
5350126,3.898431437,0,7.4,72.0626,206577.121,41.6,2.152,28.3972,18.7042,0,3.144880385,1,66.6797,59.1674,58.2029,9.0409,4368,1.035272589,0,8.7336,0,30.0902,19.6395,-0.132187827,-1.016962832,-0.249256472,3,1,2
5350127,3.860249925,0,6.3,68.3221,210512.4033,40.9,5.0058,32.6192,28.324,1,3.110750833,1,61.8592,59.4197,57.6718,7.8782,6062,1.04666356,0,8.9405,0,29.9993,19.8955,0.060786637,-0.949732613,-0.020808704,3,1,3
5350128.02,3.986716721,0,6.7,69.7842,134760.6706,39.3,11.6958,62.517,32.7701,1,3.028845353,1,73.6379,56.5993,58.8292,8.6053,10949,1.068987272,0,4.6058,0,38.9058,16.7371,2.489674764,-1.106889313,1.344173544,5,1,5
5350128.04,3.872536645,0,7.6,65.8414,109756.6011,41.1,8.4414,57.3145,28.4614,1,2.958787089,1,67.6224,54.8708,51.553,8.0734,5453,1.069815358,0,6.6568,0,37.4408,18.5817,2.403910978,-0.620251333,0.38476595,5,2,3
